제목,기사미리보기,카테고리,기자,날짜	
"[똑똑! 경제] 아파트로 회사로 쏙쏙 배달…일상 속 로봇","[앵커]코로나가 로봇과 함께 사는 시대를 앞당겼습니다. 실험실에서나 보던 로봇을 이제는 아파트 주민이나 회사원들까지 이용하게 됐다는데요.'똑똑! 경제' 구희령 기자가 거리두기 속 로봇과 함께 하는 일상이 어...","경제","구희령 기자",2021-07-18 18:52:00
"스쳐도 감염?…델타 변이 전파력 3.2배 '근거 있는 우려'","[앵커]일상으로 돌아가는 길목을 가로막은 델타 변이| 스치기만 해도 감염된다는 말까지 있죠. 알아야 피한다고 저희가 델타 변이를 심층 취재해봤는데요. 델타변이 감염자가 내뿜는 바이러스 양이 미변이에 비해 ...","사회","구혜진 기자",2021-07-18 18:51:00
"청해부대 대규모 집단감염 '68명 확진'…군 수송기 급파","[앵커]다시 코로나19 소식으로 이어가겠습니다. 아덴만에서 작전 중인 청해부대 문무대왕함. 걱정했던 대로 집단감염이 일어난 걸로 드러났습니다. 사흘 만에 확진자가 68명으로 늘었고 상태가 안 좋아 현지 입원한...","정치","김재현 기자",2021-07-18 18:50:00
"[단독] "개미들 금방 까먹어" 코인 시세 조종자들의 '은밀한 대화'","[앵커]저희 뉴스룸은 코인 시세를 조종하는 세력 '마켓 메이커'에 대한 고발을 이어가고 있습니다. 오늘(18일)은 저희가 입수한 이들의 대화 내용을 보도해드리겠습니다. 차명 계좌를 여러 개 만들어 자기들끼리 사...","경제","정해성 기자",2021-07-18 18:49:00
"[이런법이] 남편 몰래 맞은 손님은? 주거침입 판단 바뀔까","[앵커]집주인의 허락 없이 집에 들어올 때 처벌하는 법이 바로 '주거침입죄'입니다. 그렇다면 아내가 남편 몰래 집에 데려온 남성은 어떨까요? 이제까지는 집에 사는 모든 사람들 동의를 받지 않았다면 주거침입죄...","사회","강현석 기자",2021-07-18 18:30:00
"MBC "검언유착 의혹 예단 안 해"…한동훈 "이제 와 발뺌"","[앵커]지난 금요일 채널A 기자가 1심에서 무죄 판결을 받은 뒤로 계속해서 공방이 이어지고 있습니다. 의혹을 보도했던 MBC는 어제(17일) 메인 뉴스를 통해| 검언유착이란 표현을 먼저 쓰지 않았고| 의혹을 예단한 ...","사회","조보경 기자",2021-07-18 18:29:00
"문 대통령| 방일 안갯속…"이르면 19일 결론 날 듯"","[앵커]이렇게 불협화음 속 도쿄 올림픽 개막이 다가오면서 과연 문재인 대통령이 참석할지 관심이 커지고 있죠. 특히나 저희 보도로| 일본 공사가 망언을 한 사실이 드러나면서 참석 여부가 더 주목받고 있습니다. ...","정치","이희정 기자",2021-07-18 18:28:00
"욱일기 닮은 복장과 메달…올림픽 곳곳에 숨긴 일본","[앵커]우리가 현수막을 내린 건| IOC가 '욱일기에도 같은 잣대를 대겠다'고 했기 때문인데 실제 올림픽에서 욱일기가 사라질 지는 의문입니다. IOC가 같은 기준으로 '판단하겠다' 했을 뿐| 확실히 '금지하겠다'고 ...","국제","문상혁 기자",2021-07-18 18:27:00
"19일부터 고3 백신 맞는다…10대 첫 접종 시 유의 사항은?","[앵커]이렇게 방역지침 어기지 않고| 지키라는 거 잘 지키면서 동시에 백신 접종률을 하루 빨리 끌어올리는 게 중요한 시기죠. 내일(19일)부터는 수능 앞둔 고3 수험생들이 백신을 맞습니다.국내에서 10대 청소년이...","사회","임소라 기자",2021-07-18 18:25:00
"[날씨] 비 그친 뒤 무더위…기상청 "가급적 외출 자제"","20일도 소나기가 오겠고 중부와 남부지방은 34도 넘는 무더위가 이어지겠습니다.특히 서울과 대전| 광주는 '폭염경보'도 내려졌습니다.기상청은 가급적 외출을 하지 말아달라고 당부했습니다....","날씨","이한주 기자",2021-07-19 21:05:00
"벌써 3번째 올림픽…태권도로 갈아탄 '맨몸의 기수'","[앵커]코로나19 때문에 올림픽 나가는 걸 포기하는 선수들의 소식이 오늘(19일)도 이어졌습니다. 반면| 5년 사이에 올림픽에 세 번이나 출전하는 선수도 있습니다. 맨몸의 기수로 유명한 통가의 타우파토푸아| 평창...","스포츠","이선화 기자",2021-07-19 21:04:00
"[오늘| 이 장면] 시속 300km 경주…'F1의 추돌사고'","시속 3백km를 넘나드는 경주차 '포뮬러 원' 이다 보니 잠깐 스친 것 같은데| 바퀴도 빠지고 방호벽도 들이받습니다.다행히 운전자 페르스타펜은 다치지 않고 빠져나왔습니다.접촉 사고를 낸 해밀턴은 10초 페널티를...","스포츠","오광춘 기자",2021-07-19 21:00:00
"2회 위기 넘긴 류현진…'7이닝 완봉투' 시즌 9승","류현진 선수를 맞이하는 토론토 몬토요 감독의 표정이 오늘(19일) 경기가 어땠는지 보여줍니다.류현진은 특히 2회에 빛났습니다.토론토 중견수의 실책으로 무사 3루 위기를 맞았지만 텍사스의 나머지 세 타자를 삼...","스포츠","오광춘 기자",2021-07-19 20:59:00
"장날 읍내 나가다 날벼락…'만원버스' 전도| 42명 부상","[앵커]오늘(19일) 오전 전남 강진의 한 교차로에서 장날을 맞아 어르신 승객을 가득 태운 버스가 화물차와 부딪혔습니다. 42명이 크고 작은 부상을 입었습니다.정진명 기자입니다.[기자]도로 한 가운데 노란색 미니...","사회","정진명 기자",2021-07-19 20:54:00
"'쿠팡 화재' 경보 울렸는데…방재실 직원이 6번 껐다","[앵커]한 달 전| 경기도 이천 쿠팡 물류센터 화재 때 스프링클러가 바로 작동하지 않았단 주장이 제기됐었죠. 당시 방재실 직원이 화재 경보가 울리는 걸 여섯 차례나 껐던 걸로 확인됐습니다. 이걸 끄면 스프링클...","사회","윤두열 기자",2021-07-19 20:53:00
"[백브리핑] "신성한 묘비 더럽혀"…김두관 '흔적 지우기'","뉴스 뒤에 숨은 이야기 백브리핑 시작합니다.첫 번째 브리핑 < 흔적 지우기? > 입니다.민주당 대선주자인 김두관 의원이 오늘(19일) 광주 5·18민주묘지를 참배했습니다.열사들의 묘역을 찾은 김 의원| 손수...","정치","최종혁 기자",2021-07-19 20:51:00
"백신예약 대상 나누고 4차례 점검도 했지만…또 '먹통'","[앵커]50대 초중반 연령대 백신 사전 예약이 조금 전인 8시부터 시작이 됐습니다. 취재기자 잠깐 연결해보겠습니다.윤영탁 기자| 이번에는 문제가 없었습니까?[기자]예약이 시작된 밤 8시부터 보시는 것처럼 사전예...","사회","윤영탁 기자",2021-07-19 20:48:00
"'은수미 캠프 출신' 핵심 인사도 성남시에 이권청탁 의혹","[앵커]저희 추적보도팀은 성남시와 관련해서 부당한 이권 청탁이 오갔을 가능성이 있는 다른 의혹들도 취재했습니다. 이번에 등장하는 건| 은수미 시장 캠프 출신의 또 다른 핵심 인사입니다. 지난해 27명| 무더기 ...","사회","박창규 기자",2021-07-19 20:47:00
"[단독] 은수미 보좌관| 경찰에 '4억 공사' 이권 챙겨준 정황","[앵커]오늘(19일) 추적보도 훅은 끊이지 않는 은수미 성남시장 주변의 의혹을 추적합니다. 은 시장 측에 수사 정보를 빼주던 경찰관은 이미 구속된 상태인데요. JTBC 취재결과 은 시장의 보좌관이 이 경찰관에게 시...","사회","심수미 기자",2021-07-19 20:43:00
"[인터뷰] 이재명 "논란의 단체방 J씨? 전혀 모르는 사람"","■ 인용보도 시 프로그램명 'JTBC 뉴스룸'을 밝혀주시기 바랍니다. 저작권은 JTBC에 있습니다.■ 방송 : JTBC 뉴스룸 / 진행 : 오대영[앵커]예고해드린 대로 대선 후보 인터뷰 두 번째 시간| 오늘(19일)은 이재명 ...","정치","오대영 기자",2021-07-19 20:35:00
"서울 최고 36도까지…장마 지나고 더 '독한 폭염' 온다","[앵커]오늘(19일)은 낮에 반짝 소나기가 내리면서 조금 시원했습니다. 그런데 오래가진 못할 것 같습니다. 내일 소나기가 그치고 나면 모레부턴 그야말로 숨이 턱턱 차오르는 더위가 올 거란 예보입니다.김세현 기...","사회","김세현 기자",2021-07-19 20:27:00
"4단계 첫 주말에…모텔 한 층 통째 빌려 '룸 유흥주점'","[앵커]모텔 한 층을 통째로 빌려 유흥주점을 운영한 일당이 경찰에 덜미를 잡혔습니다. 수도권 거리두기 4단계가 시행된 첫 주말이었습니다.임지수 기자입니다.[기자]경찰이 경기도 수원시의 한 모텔 방으로 들어서...","사회","임지수 기자",2021-07-19 20:26:00
